"[run number]","SCENARIO","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","[step]","MaxI%","nb-non-S%","epidemic-duration-final"
"1","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"4","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"16","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"13","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"10","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"6","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"7","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"5","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"2","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"9","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"14","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"15","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"11","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"3","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"8","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"12","Laisser-faire","1","0.5","0.1","104","0.1","0.1","26"
"17","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"20","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"19","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"22","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"21","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"24","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"23","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"27","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"28","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"26","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"29","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"31","Laisser-faire","1","0.5","0.1","72","0.05","0.05","18"
"18","Laisser-faire","1","0.5","0.1","107","0.1","0.1","27"
"30","Laisser-faire","1","0.5","0.1","100","0.1","0.1","25"
