"BehaviorSpace results (NetLogo 6.1.1)"
"CoVprehension_backtracking_V10VersionSite_180520.nlogo"
"Explo_V10_Scenario2"
"05/19/2020 10:06:53:371 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","Temps-d'attente-pour-la-réalisation-du-test","Probabilité-que-le-test-soit-efficace","Probabilité-de-respect-du-confinement","SCENARIO","[step]","MaxI%","nb-non-S%","epidemic-duration-final","Max-Conf%","total-population-locked%","population-tested%","total-nb-tests","total-nb-contagious","contagious-detected%","contagious-lockeddown%","proportion-non-contagious-lockeddown%","proportion-total-contagious-lockeddown-tracked","proportion-total-contagious-lockeddown-symptom"
"1","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.3","0.3","0.05","1","1","100","100","83.33333333333334","0","100"
"15","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0","0","0","0","1","0","0","0","0","0"
"14","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","1","1","100","100","75","0","100"
"11","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"2","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"7","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.25","0.25","0.05","1","1","100","100","80","0","100"
"12","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"5","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.1","0.1","0.05","1","1","100","100","50","0","100"
"13","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","1","1","100","100","75","0","100"
"8","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.25","0.25","0.05","1","1","100","100","80","0","100"
"6","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.35000000000000003","0.35000000000000003","0.05","1","1","100","100","85.71428571428571","0","100"
"16","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.05","0.05","0.05","1","1","100","100","0","0","100"
"3","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.25","0.25","0.05","3","1","100","100","80","0","100"
"9","1","0.5","0.1","0","0.95","1","Confinement simple","84","0.1","0.1","21","0.35000000000000003","0.35000000000000003","0.05","1","2","50","100","71.42857142857143","50","50"
"10","1","0.5","0.1","0","0.95","1","Confinement simple","103","0.1","0.1","26","0.25","0.25","0.05","1","2","50","100","66.66666666666666","0","100"
"4","1","0.5","0.1","0","0.95","1","Confinement simple","110","0.1","0.1","28","0.4","0.4","0.05","1","2","50","100","77.77777777777779","0","100"
"17","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.15","0.15","0.05","1","1","100","100","66.66666666666666","0","100"
"20","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.25","0.25","0.05","1","1","100","100","80","0","100"
"21","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.25","0.25","0.05","1","1","100","100","80","0","100"
"25","1","0.5","0.1","0","0.95","1","Confinement simple","72","0.05","0.05","18","0.2","0.2","0.05","1","1","100","100","75","0","100"
