"BehaviorSpace results (NetLogo 6.1.1)"
"CoVprehension_backtracking_V11VersionSite_250520.nlogo"
"Explo_V11_Scenario-1-2"
"05/26/2020 00:09:04:623 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","Nombre-de-cas-au-départ","R0-fixé","probability-asymptomatic-infection","Temps-d'attente-pour-la-réalisation-du-test","Probabilité-que-le-test-soit-efficace","Probabilité-de-respect-du-confinement","fixed-seed?","SCENARIO","Repartition-initiale-des-malades","[step]","MaxI%","nb-non-S%","epidemic-duration-final","Max-Conf%","total-population-locked%"
"10","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","109","1.0999999999999999","1.0999999999999999","27","0","0"
"13","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","107","1.15","1.15","27","0","0"
"6","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","128","1.05","1.0999999999999999","32","0","0"
"1","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","137","1","1.15","34","0","0"
"4","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","140","1.0999999999999999","1.15","35","0","0"
"5","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","152","1.4000000000000001","1.6","38","0","0"
"11","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","152","1.25","1.35","38","0","0"
"12","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","178","1.4000000000000001","1.7999999999999998","45","0","0"
"2","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","176","1.0999999999999999","1.4000000000000001","44","0","0"
"3","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","181","1.5","1.6500000000000001","45","0","0"
"18","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","100","1","1","25","0","0"
"16","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","197","1.4000000000000001","1.6500000000000001","49","0","0"
"17","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","120","1.15","1.15","30","0","0"
"8","18","1","0.3","0","0.95","1","false","Laisser-faire","Aléatoire","224","1.25","1.7500000000000002","56","0","0"
