evolution$generation,init_conf,duration_conf,relesae_conf,delta$jours_confinement,pic_max,evolution$samples
2900,1.0,56.00346059792623,18.54139857459178,16.125,40.0,100
2900,2.6741059164282,54.13113692165979,16.42454501943327,6.25,40.0,4
2900,1.0,129.77378354516324,76.99999999999999,17.5,40.0,12
2900,1.0,224.05422667111162,3.9746108099659545,16.25,39.0,3
2900,1.0,105.24966647521595,77.0,17.0,39.5,6
2900,1.0,225.13164533893197,77.0,15.75,36.0,2
2900,1.0,132.71179126624082,1.0,19.625,34.5,2
2900,1.0000015103044757,231.04487880596156,59.43776734506821,18.75,39.0,7
2900,1.0,107.98049167255078,77.0,19.5,38.0,7
2900,1.0011751769585548,139.32433870727542,1.0,19.75,35.0,1
2900,1.0,100.54038939589793,6.298233425511422,16.75,38.0,1
2900,1.0,238.0,76.21639680264026,18.0,39.0,3
2900,1.0,205.7454902856217,53.18852766284521,18.125,38.0,2
2900,1.0,233.36103225814094,77.0,17.75,40.0,11
2900,1.0,178.60972095759257,77.0,18.5,40.0,9
2900,1.0,181.21516525590718,72.38624986091139,19.5,40.0,9
2900,1.0,119.55741793132977,33.10263322242066,18.25,39.0,1
2900,1.0,237.22263610690624,77.0,20.0,39.0,2
