duration_conf,init_conf,jours_confinement,nbIr,nbR,nbS,nb_confinement,pic_max,relesae_conf,seed
10.0,75.59647178398126,2.5,0.0,197.0,3.0,1.0,143.0,78.9577344931035,1405443550
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,174.0,78.9577344931035,-1546306897
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,156.0,78.9577344931035,386243522
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,160.0,78.9577344931035,-630034294
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,154.0,78.9577344931035,-490242700
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,155.0,78.9577344931035,-1790817881
10.0,75.59647178398126,5.0,0.0,200.0,0.0,2.0,151.0,78.9577344931035,-237574815
10.0,75.59647178398126,4.5,0.0,200.0,0.0,2.0,148.0,78.9577344931035,-91895430
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,170.0,78.9577344931035,-1191090203
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,154.0,78.9577344931035,-1357257052
10.0,75.59647178398126,3.75,0.0,200.0,0.0,2.0,162.0,78.9577344931035,1558655219
10.0,75.59647178398126,5.0,0.0,195.0,5.0,2.0,128.0,78.9577344931035,-1786611715
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,163.0,78.9577344931035,-1529001597
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,167.0,78.9577344931035,1695687061
10.0,75.59647178398126,2.5,0.0,198.0,2.0,1.0,174.0,78.9577344931035,-258100462
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,182.0,78.9577344931035,711667500
10.0,75.59647178398126,5.0,0.0,199.0,1.0,2.0,152.0,78.9577344931035,-1343024138
10.0,75.59647178398126,2.5,0.0,197.0,3.0,1.0,145.0,78.9577344931035,1107656740
10.0,75.59647178398126,4.75,0.0,199.0,1.0,2.0,157.0,78.9577344931035,509813264
10.0,75.59647178398126,4.25,0.0,199.0,1.0,2.0,160.0,78.9577344931035,501525359
10.0,75.59647178398126,2.5,0.0,197.0,3.0,1.0,158.0,78.9577344931035,-1514987980
10.0,75.59647178398126,2.5,0.0,198.0,2.0,1.0,152.0,78.9577344931035,-1324397862
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,180.0,78.9577344931035,298824583
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,167.0,78.9577344931035,522894483
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,172.0,78.9577344931035,-640485198
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,176.0,78.9577344931035,1485347664
10.0,75.59647178398126,2.5,0.0,196.0,4.0,2.0,149.0,78.9577344931035,1529616655
10.0,75.59647178398126,5.0,0.0,199.0,1.0,2.0,155.0,78.9577344931035,1013274602
10.0,75.59647178398126,2.5,0.0,198.0,2.0,1.0,154.0,78.9577344931035,-640868881
10.0,75.59647178398126,3.25,0.0,199.0,1.0,2.0,156.0,78.9577344931035,-1689910088
10.0,75.59647178398126,5.0,0.0,197.0,3.0,2.0,142.0,78.9577344931035,1501098362
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,167.0,78.9577344931035,538338890
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,167.0,78.9577344931035,-1077394967
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,152.0,78.9577344931035,585738998
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,159.0,78.9577344931035,-775950060
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,171.0,78.9577344931035,479839785
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,165.0,78.9577344931035,1199752211
10.0,75.59647178398126,2.5,0.0,198.0,2.0,1.0,166.0,78.9577344931035,749136984
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,159.0,78.9577344931035,-2090648014
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,143.0,78.9577344931035,-835251253
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,166.0,78.9577344931035,-539766911
10.0,75.59647178398126,5.0,0.0,200.0,0.0,2.0,163.0,78.9577344931035,-1142970409
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,164.0,78.9577344931035,698367206
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,173.0,78.9577344931035,1926457434
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,156.0,78.9577344931035,167455482
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,154.0,78.9577344931035,986796856
10.0,75.59647178398126,3.25,0.0,200.0,0.0,2.0,156.0,78.9577344931035,1162836452
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,163.0,78.9577344931035,-2052898161
10.0,75.59647178398126,2.5,0.0,200.0,0.0,2.0,170.0,78.9577344931035,1256548579
10.0,75.59647178398126,2.5,0.0,197.0,3.0,1.0,162.0,78.9577344931035,-1042601331
10.0,75.59647178398126,4.5,0.0,197.0,3.0,2.0,150.0,78.9577344931035,692064449
10.0,75.59647178398126,2.5,0.0,200.0,0.0,1.0,176.0,78.9577344931035,-1140200306
10.0,75.59647178398126,2.5,0.0,196.0,4.0,1.0,140.0,78.9577344931035,13109944
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,166.0,78.9577344931035,1864651776
47.58308424290599,1.0,70.5,0.0,117.0,83.0,6.0,49.0,18.718248888149137,-871075430
47.58308424290599,1.0,60.0,0.0,141.0,59.0,5.0,72.0,18.718248888149137,-1391278753
47.58308424290599,1.0,36.0,0.0,163.0,37.0,3.0,93.0,18.718248888149137,-195088094
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,161.0,78.9577344931035,303168834
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,164.0,78.9577344931035,354138850
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,174.0,78.9577344931035,-2143203756
10.0,75.59647178398126,2.5,0.0,199.0,1.0,1.0,159.0,78.9577344931035,1051035674
10.0,75.59647178398126,5.0,0.0,200.0,0.0,2.0,154.0,78.9577344931035,1270839588
