evolution$generation,initProportionOfRecovered,initProportionOfRecovered,finalProportionInfected,evolution$samples
20000,0.0,0.0,100.0,100
20000,100.0,100.0,0.2,100
20000,68.36602644309279,68.36602644309279,30.2,100
20000,18.088432571512573,18.088432571512573,81.8,1
20000,65.13691176143946,65.13691176143946,0.2,1
20000,60.44519179291139,60.44519179291139,38.800000000000004,77
20000,64.51489543033004,64.51489543033004,34.699999999999996,32
20000,94.19005470810211,94.19005470810211,0.2,52
20000,91.39441902784678,91.39441902784678,0.6,100
20000,89.49856649903633,89.49856649903633,1.9,100
20000,85.08402073540181,85.08402073540181,7.9,100
20000,84.44819526181402,84.44819526181402,5.4,6
20000,82.53778133330488,82.53778133330488,11.799999999999999,41
20000,87.60561593505498,87.60561593505498,3.0,100
20000,74.16180284172069,74.16180284172069,24.2,36
20000,59.3370747136557,59.3370747136557,39.4,3
20000,67.10871999555908,67.10871999555908,31.6,74
20000,57.756631983643615,57.756631983643615,41.0,5
20000,78.47704002212141,78.47704002212141,18.4,10
20000,85.65170731943704,85.65170731943704,7.299999999999999,100
20000,66.647253574556,66.647253574556,32.4,23
20000,86.38375451912613,86.38375451912613,5.6000000000000005,100
20000,79.83839514255313,79.83839514255313,15.6,7
20000,81.56689966136008,81.56689966136008,14.5,20
20000,70.06000340062369,70.06000340062369,28.599999999999998,100
20000,54.677411623531526,54.677411623531526,42.6,1
20000,82.90047589036237,82.90047589036237,12.4,100
20000,55.22175769263856,55.22175769263856,22.3,2
20000,73.4893098267449,73.4893098267449,24.9,16
20000,41.716410211587615,41.716410211587615,57.99999999999999,22
20000,69.28039415331325,69.28039415331325,29.2,100
20000,75.93084866171927,75.93084866171927,21.6,100
20000,75.16905839609282,75.16905839609282,22.2,100
20000,80.2006837695446,80.2006837695446,16.2,100
20000,43.76341138376839,43.76341138376839,55.2,1
20000,39.70796510572042,39.70796510572042,60.199999999999996,8
20000,14.366134859613982,14.366134859613982,85.8,1
20000,50.643940804616136,50.643940804616136,48.6,3
20000,72.33090634719947,72.33090634719947,13.0,2
