evolution$generation,strategy,numberDailyTestsPer10000,testingThreshold,totalTests,FPTests,nbUndetectedInfected,evolution$samples
13000,symptomatic,17,0,2097.5,0.0,7959.5,90
13000,symptomatic,99,0,6736.0,0.0,3542.0,37
13000,symptomatic,89,0,6688.0,0.0,3500.0,19
13000,workers,14,40,587.5,6.0,9519.0,34
13000,symptomatic,99,39,3574.5,0.0,6749.0,14
13000,older,10,40,267.5,3.0,9771.5,10
13000,symptomatic,43,0,4537.0,0.0,5571.5,66
13000,symptomatic,39,0,4216.0,0.0,5909.5,8
13000,symptomatic,36,0,3956.0,0.0,6203.0,55
13000,symptomatic,43,8,4384.0,0.0,6003.0,49
13000,symptomatic,56,0,5774.0,0.0,4528.0,52
13000,symptomatic,95,31,5372.5,0.0,5070.0,50
13000,symptomatic,37,0,3955.0,0.0,6287.0,22
13000,symptomatic,50,0,4890.5,0.0,5007.0,22
13000,symptomatic,44,0,4651.5,0.0,5501.0,42
13000,symptomatic,51,0,5267.0,0.0,4918.0,21
13000,symptomatic,26,0,3083.0,0.0,6938.0,21
13000,symptomatic,33,0,3707.5,0.0,6496.0,48
13000,symptomatic,53,37,2772.0,0.0,7474.5,40
13000,symptomatic,49,0,5126.0,0.0,5140.0,37
13000,symptomatic,61,0,6005.0,0.0,4260.0,52
13000,symptomatic,57,0,4794.0,0.0,4181.0,5
13000,symptomatic,89,18,6415.0,0.0,4021.5,34
13000,symptomatic,74,0,5942.5,0.0,3672.0,8
13000,symptomatic,21,0,2475.5,0.0,7525.5,20
13000,symptomatic,20,0,2419.5,0.0,7620.5,50
13000,symptomatic,47,0,4833.5,0.0,5304.5,48
13000,symptomatic,96,18,6470.0,0.0,3941.0,37
13000,symptomatic,22,0,2734.0,0.0,7313.0,7
13000,symptomatic,88,20,6345.0,0.0,4092.0,35
13000,symptomatic,60,0,5521.0,0.0,4438.0,25
13000,symptomatic,67,48,0.0,0.0,9970.0,1
13000,symptomatic,34,32,2356.0,0.0,7856.0,39
13000,symptomatic,79,34,4392.0,0.0,5944.0,21
13000,symptomatic,20,18,1846.0,0.0,8317.0,47
13000,symptomatic,23,0,2871.5,0.0,7317.5,48
13000,symptomatic,76,30,4496.0,0.0,5923.0,29
13000,symptomatic,68,0,6321.0,0.0,3881.0,31
13000,symptomatic,29,0,3134.0,0.0,6836.0,43
13000,symptomatic,58,0,5527.0,0.0,4449.0,45
13000,symptomatic,10,39,641.0,0.0,9407.0,18
13000,symptomatic,43,30,3035.0,0.0,7244.0,22
13000,symptomatic,16,0,2030.0,0.0,8055.0,40
13000,symptomatic,96,17,6563.0,0.0,3860.0,43
13000,symptomatic,24,0,3052.0,0.0,7190.0,11
13000,symptomatic,20,15,2003.0,0.0,8170.0,43
